sentiment,word,count
Negative,the,27834
Negative,i,24859
Negative,and,15516
Negative,it,14583
Negative,a,14479
Negative,to,13809
Negative,of,11364
Negative,this,9863
Negative,br,8553
Negative,is,8388
Negative,in,7235
Negative,was,6829
Negative,that,6733
Negative,not,6591
Negative,for,6290
Negative,but,5702
Negative,my,5488
Negative,t,5029
Negative,they,4282
Negative,have,4243
Negative,with,4231
Negative,you,4145
Negative,like,3821
Negative,s,3731
Negative,on,3626
Negative,as,3484
Negative,so,3366
Negative,are,3241
Negative,product,3092
Negative,be,3043
Neutral,the,16216
Neutral,i,13793
Neutral,a,9722
Neutral,it,9164
Neutral,and,8102
Neutral,to,8033
Neutral,of,6728
Neutral,br,5875
Neutral,is,5581
Neutral,this,4988
Neutral,but,4288
Neutral,that,4149
Neutral,for,4133
Neutral,in,4127
Neutral,not,3781
Neutral,my,3127
Neutral,was,3026
Neutral,t,3012
Neutral,you,2737
Neutral,s,2650
Neutral,with,2490
Neutral,as,2453
Neutral,have,2411
Neutral,like,2393
Neutral,they,2303
Neutral,are,2213
Neutral,on,1920
Neutral,so,1884
Neutral,be,1872
Neutral,taste,1768
Positive,the,119603
Positive,i,110357
Positive,and,89310
Positive,a,84279
Positive,it,69946
Positive,to,67134
Positive,of,52235
Positive,is,50033
Positive,this,44006
Positive,br,42698
Positive,for,37956
Positive,in,36849
Positive,my,32273
Positive,that,28795
Positive,you,25392
Positive,with,24216
Positive,have,23589
Positive,but,23104
Positive,are,22381
Positive,they,21154
Positive,s,20315
Positive,not,18969
Positive,as,18616
Positive,t,18490
Positive,on,18214
Positive,was,17939
Positive,so,17219
Positive,these,16632
Positive,like,16149
Positive,them,15032
